sample_fp	plate	well	tile
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-042__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	42
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-043__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	43
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-044__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	44
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-045__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	45
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-046__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	46
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-047__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	47
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-048__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	48
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-049__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	49
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-050__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	50
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-051__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	51
/lab/barcheese01/brieflow_screens/denali-data/input_ph/plate_1/20240121_140219_589/P001_Pheno_20x_Wells-A1_Points-052__Channel_AF750,Cy3,GFP,DAPI.nd2	1	A1	52
